"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"175","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2022-07-31",NA,NA,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,13.19,NA,NA,NA,NA,NA,NA,32.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,NA
"176","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-01-31",1.8,4.3,NA,NA,NA,23.34,0.4,NA,NA,NA,NA,-0.41,NA,NA,NA,NA,1.47,6.47,NA,NA,29.57,NA,NA,8.85,3.89,NA,5.33,NA,NA,NA,6.27,0.39,NA,-7.86,NA,6.76,-1.16,14.86,NA,1.9,51.29,7.94,NA,NA,NA,15.61,NA,2.03,3.14,3.74,NA,NA,NA
"177","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-02-29",1.8,0.87,NA,NA,NA,16.72,3.37,NA,NA,NA,NA,1.2,NA,NA,NA,NA,1.71,11.45,NA,NA,11.88,NA,NA,8.75,4.58,NA,5.54,NA,NA,NA,5.37,0.49,20.73,-7.89,NA,10.24,-10.44,16.29,NA,0.06,51.33,7.78,NA,NA,NA,15.6,NA,2.03,2.48,4.63,NA,NA,NA
"178","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-03-31",2.12,-0.96,NA,NA,NA,18.73,2.19,NA,NA,NA,NA,1.95,NA,NA,NA,NA,2.83,16.57,NA,NA,10.56,NA,NA,9.52,5.45,NA,7.29,NA,NA,NA,5.71,0.69,21.35,-7.76,NA,2.44,-8.39,14.21,NA,-0.38,53.31,6.85,NA,NA,NA,17.51,NA,2.04,0.8,4.7,NA,NA,NA
"179","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-04-30",2.12,-2.84,NA,NA,NA,22.03,2.19,NA,NA,NA,NA,1.64,NA,NA,NA,NA,9.23,17.7,NA,NA,17.63,NA,NA,11.02,5.73,NA,6.7,NA,NA,NA,10.4,0.79,20.42,-7.64,NA,2.8,-5.69,22.82,NA,0.33,53.26,6.94,NA,NA,17.32,17.03,NA,1.4,2.18,5.53,NA,NA,NA
"180","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-05-31",2.12,-3.13,NA,NA,NA,23.91,2.09,NA,NA,NA,NA,6.04,NA,NA,NA,NA,9.56,18.39,NA,NA,19.15,NA,NA,13.63,9.46,NA,6.97,NA,NA,NA,9.32,0.88,17.25,-7.43,NA,1.71,-6.14,14.71,NA,0.9,50.37,6.99,NA,NA,12.79,16.85,NA,2.33,2.57,5.38,NA,NA,NA
"181","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-06-30",0.97,-2.58,NA,NA,NA,29.66,5.68,NA,NA,NA,NA,4.34,NA,NA,NA,NA,9.39,25.12,NA,NA,18.02,NA,NA,13.8,9.62,NA,7.82,NA,NA,NA,9.33,1.08,16.07,-7.37,NA,3.53,-4.78,12.17,NA,1.63,54.81,8.5,NA,NA,18.77,18.74,NA,2.14,-3.56,5.49,NA,NA,NA
"182","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-07-31",0.97,0.24,NA,NA,NA,15.5,8.3,NA,NA,NA,NA,6.72,NA,NA,NA,NA,11.97,25.3,NA,NA,16.64,NA,NA,16.23,10.63,NA,9.16,NA,NA,NA,8.88,1.08,14.05,-4.84,NA,3.9,12.14,15.66,NA,1.44,55.17,11.95,NA,NA,5.93,18.78,NA,3.78,-5.51,5.64,NA,NA,NA
"183","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-08-31",0.97,1.13,NA,NA,NA,14.97,8.18,NA,NA,NA,NA,5.45,NA,NA,NA,NA,13.99,27.64,NA,NA,14.91,NA,NA,20.14,12.27,NA,10.09,NA,NA,NA,9.28,0.98,14.21,-5.09,NA,4.11,-4.06,21.04,NA,4.28,74.11,11.05,NA,NA,9.37,19.26,NA,4.87,2.34,5.03,NA,NA,NA
"184","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-09-30",0.57,1.31,NA,NA,NA,9.42,9.28,NA,NA,NA,NA,8.46,NA,NA,NA,NA,16,28.24,NA,NA,15.89,NA,NA,19.74,11.8,NA,10.88,NA,NA,NA,5.61,0.98,13.38,-4.93,NA,7.48,-3.17,20.72,NA,4.36,72.76,11.16,NA,NA,-10.87,19.48,NA,4.87,8.9,5.06,NA,NA,NA
"185","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-10-31",0.03,1.66,NA,NA,NA,5.72,10.06,NA,NA,NA,NA,9.78,NA,NA,NA,NA,15.55,30.5,NA,NA,17.9,NA,NA,19.43,9.03,NA,14.06,NA,NA,NA,5.61,0.98,11.24,-4.9,NA,8.92,-4.77,21.52,NA,4.32,72.89,11.08,NA,NA,0.32,18.92,NA,5.12,12.4,5.34,NA,NA,NA
"186","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-11-30",0.1,1.66,NA,NA,NA,10.63,9.26,NA,NA,NA,NA,4.39,NA,NA,NA,NA,15.27,27.7,NA,NA,13.15,NA,NA,17.85,5.66,NA,12.46,NA,NA,NA,4.07,0.98,9.74,6.04,NA,10.46,3.56,22.76,NA,3.75,79.23,11.01,NA,NA,-14.01,19.08,NA,5.3,3.08,5.36,NA,NA,NA
"187","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2008-12-31",-0.31,0.98,NA,NA,NA,6.66,5.17,NA,NA,NA,NA,4.77,NA,NA,NA,NA,15.2,28.12,NA,NA,14.32,NA,NA,16.52,3.37,NA,13.77,NA,NA,NA,2.18,1.08,6.5,6.02,NA,11.74,-5.21,21.4,NA,2.82,89.54,10.62,NA,NA,6.24,18.8,NA,5.8,4.03,5.17,NA,NA,NA
"188","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-01-31",-0.31,0.08,0.8,NA,NA,9.79,4.97,NA,NA,NA,NA,1.23,NA,NA,NA,NA,12.23,27.06,NA,NA,5.31,NA,NA,13.52,-0.38,NA,14.77,NA,NA,NA,1.23,1.17,-0.82,10.43,NA,9.06,9.41,21.67,NA,1.13,28.13,7.65,NA,9.39,4.07,3.18,NA,5.83,0.55,5.07,NA,NA,NA
"189","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-02-28",1.66,2.66,-0.1,NA,NA,10.58,4.15,NA,NA,NA,NA,0.72,NA,NA,NA,NA,16.42,21.64,NA,NA,9.3,NA,NA,12.32,-0.14,NA,14.84,NA,NA,NA,1.61,1.07,-6.03,10,NA,8.66,13.19,20.54,NA,1.06,28.54,7.7,NA,9.61,3.65,9.03,NA,5.93,1.97,4.02,NA,NA,NA
"190","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-03-31",1.67,5.35,2.02,NA,NA,11.88,2.43,NA,NA,NA,NA,1.62,NA,NA,NA,NA,14.53,14.3,NA,NA,9.36,NA,NA,7.83,-1.51,NA,13.5,NA,NA,NA,1.13,0.97,-7.63,9.82,NA,11.18,14.11,10.78,NA,1.49,26.87,7.73,NA,8.37,-2.69,7.29,NA,6.14,3.92,3.93,NA,NA,NA
"191","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-04-30",1.67,7.21,0.5,NA,NA,7.38,2.04,NA,NA,NA,NA,-0.16,NA,NA,NA,NA,7.57,15.7,NA,NA,7.71,NA,NA,4.29,-0.75,NA,13.02,NA,NA,NA,-5.41,0.97,-9.59,9.64,NA,10.13,10.08,4.12,NA,1.13,26.73,7.56,NA,8.58,14.25,7.4,NA,5.42,3.97,3.13,NA,NA,NA
"192","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-05-31",1.67,10.08,1.62,NA,NA,5.76,2.24,NA,NA,NA,NA,-4.23,NA,NA,NA,NA,5.97,14.86,NA,NA,5.18,NA,NA,1.42,-3.11,NA,10.23,NA,NA,NA,-4.55,0.87,-9.98,9.44,NA,10.25,10.71,9.13,NA,1.1,18,7.48,NA,8.12,3.89,6.69,NA,5.47,2.44,3.08,NA,NA,NA
"193","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-06-30",3.97,9.35,1.32,NA,NA,3.54,-1.98,NA,NA,NA,NA,-4.92,NA,NA,NA,NA,6.08,8.8,NA,NA,6.34,NA,NA,-1.15,-3.37,NA,9.57,NA,NA,NA,-4.72,0.68,-9.48,20.68,NA,8.92,6.55,10.89,NA,0.01,14.62,6.95,NA,7.58,15.66,6.69,NA,5.09,6.99,3,NA,NA,NA
"194","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-07-31",3.97,7.05,11.5,NA,NA,1.3,-2.86,NA,NA,NA,NA,-4.07,NA,NA,NA,NA,2.87,11,NA,NA,9.07,NA,NA,-3.81,-2.13,NA,9.65,NA,NA,NA,-4.71,0.78,-8.47,18.19,NA,8.24,-10.91,7.54,NA,-0.37,14.53,5.73,NA,8.42,7.96,10.55,NA,3.42,6.79,2.85,NA,NA,NA
"195","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-08-31",3.97,7.04,6.72,NA,NA,5.49,-2.49,NA,NA,NA,NA,-2.96,NA,NA,NA,NA,9.99,11.15,NA,NA,10.34,NA,NA,-6.5,-3.83,NA,12.81,NA,NA,NA,-4.97,0.68,-8.45,17.78,NA,6.34,6.54,1.4,NA,-2.04,2.09,5.83,NA,7.94,0.6,10.36,NA,2.31,-0.26,2.86,NA,NA,NA
"196","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-09-30",3.46,6.92,8.84,NA,NA,30.58,-3.47,NA,NA,NA,NA,-5.29,NA,NA,NA,NA,8.42,14.15,NA,NA,9.35,NA,NA,-7.32,-5.56,NA,13.35,NA,NA,NA,-5.23,0.68,-7.85,17.71,NA,4.92,5.94,3.5,NA,-1.9,2.45,5.74,NA,7.66,4.07,10.15,NA,2.41,-6.02,2.78,NA,NA,NA
"197","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-10-31",3.44,6.32,8.21,NA,NA,22.5,-2.83,NA,NA,NA,NA,-5.1,NA,NA,NA,NA,12.36,11.86,NA,NA,9.24,NA,NA,-6.89,-1.52,NA,10.19,NA,NA,NA,-5.31,0.68,-7.67,17.64,NA,6.67,7.91,3.52,NA,-1.75,2.36,5.63,NA,7.66,6.42,10.49,NA,2.11,-0.04,2.46,NA,NA,NA
"198","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-11-30",3.37,8.22,5.83,NA,NA,14.59,-2.12,NA,NA,NA,NA,-2.12,NA,NA,NA,NA,12.53,15.71,NA,NA,12.31,NA,NA,-6.36,-2.12,NA,9.66,NA,NA,NA,-4.36,0.77,-7.54,17.56,NA,8.68,-0.12,-0.48,NA,-1.26,-1.21,5.76,NA,7.66,5.43,10.45,NA,2.49,0.36,2.45,NA,NA,NA
"199","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2009-12-31",3.55,5.67,8.46,NA,NA,18.93,1.23,NA,NA,NA,NA,-0.68,NA,NA,NA,NA,12.33,17.05,NA,NA,12.56,NA,NA,-6.01,-1.02,NA,8.67,NA,NA,NA,-2.59,0.77,-5.2,17.55,NA,7.25,7.11,1.64,NA,-0.16,-7.69,5.78,NA,7.19,2.1,10.67,NA,2.02,-1.81,2.42,NA,NA,NA
"200","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-01-31",3.55,6.36,9.48,NA,NA,13.38,1.32,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,13.35,18.52,NA,NA,12.38,NA,NA,-2.91,2.62,NA,4.27,NA,NA,NA,-1.96,0.68,-2.92,14.56,NA,8.99,-4.76,1.1,NA,1.59,6.43,6.23,NA,7.19,8.23,18.19,NA,2.2,-1.23,2.52,NA,NA,13.7
"201","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-02-28",2.1,6.68,10.51,NA,NA,10.43,2.56,NA,NA,NA,NA,-1.13,NA,NA,NA,NA,9.21,18.93,NA,NA,11.67,NA,NA,-2.4,3.25,NA,10.49,NA,NA,NA,-1.86,0.68,-0.32,15.08,NA,10.48,3.46,0.44,NA,2.64,6.65,6.15,NA,6.97,9.66,11.84,NA,2.34,-2.44,2.75,NA,NA,13.88
"202","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-03-31",2.89,5.47,9.01,NA,NA,10.87,2.56,NA,NA,NA,NA,-0.85,NA,NA,NA,NA,9.86,20.46,NA,NA,10.14,NA,NA,1.55,2.98,NA,11.39,NA,NA,NA,-1.77,0.58,5.19,15.09,NA,10.42,2.07,-1.64,NA,2.87,-4.48,6.18,NA,6.93,-1.48,12.11,NA,2.25,-3.19,2.77,NA,NA,16.93
"203","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-04-30",2.89,4.6,10.76,NA,NA,14.87,2.96,NA,NA,NA,NA,3.38,NA,NA,NA,NA,10.09,19.51,NA,NA,8.22,NA,NA,2.39,2.88,NA,12.52,NA,NA,NA,0.57,0.48,9.65,14.96,NA,10.07,4.52,-5.01,NA,2.64,-4.34,6.25,NA,6.72,-18.67,12.05,NA,2.21,-0.11,2.8,NA,NA,9.21
"204","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-05-31",2.89,3.54,11.65,NA,NA,13.37,2.86,NA,NA,NA,NA,4.01,NA,NA,NA,NA,10.66,18.72,NA,NA,8.07,NA,NA,4,2.6,NA,13.88,NA,NA,NA,0.57,0.48,12.38,15.18,NA,8.24,2.07,-3.95,NA,2.11,4.71,6.23,NA,6.92,-7.48,12.39,NA,1.82,0.65,2.87,NA,NA,8.3
"205","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-06-30",0.98,4.52,11.74,NA,NA,17.74,4.04,NA,NA,NA,NA,5.18,NA,NA,NA,NA,11.01,20.1,NA,NA,10.63,NA,NA,6.07,2.94,NA,16.52,NA,NA,NA,0.57,0.48,15.39,4.44,NA,8.84,6.96,-1.88,NA,2.48,4.78,6.3,NA,6.85,-6.84,11.24,NA,1.89,0.99,3.18,NA,NA,9.96
"206","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-07-31",0.98,5.66,-0.27,NA,NA,19.94,2.95,NA,NA,NA,NA,4.14,NA,NA,NA,NA,10.46,17.93,NA,NA,8.42,NA,NA,5.96,2.43,NA,15.47,NA,NA,NA,0.48,0.38,13.44,4.81,NA,6.97,7.66,-0.53,NA,2.99,4.74,5.49,NA,6.44,-6.68,7.03,NA,1.93,2.56,3.52,NA,NA,8.88
"207","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-08-31",0.98,6.13,0.65,NA,NA,14.8,2.46,NA,NA,NA,NA,4.55,NA,NA,NA,NA,7.82,14.43,NA,NA,11.36,NA,NA,4.63,3.34,NA,14.43,NA,NA,NA,0.29,0.48,14.23,4.83,NA,7.95,9.06,1.24,NA,1.79,4.72,5.61,NA,6.42,1.49,6.85,NA,1.83,2.68,3.32,NA,NA,5.6
"208","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-09-30",1.31,7.2,1.29,NA,NA,-3.35,2.46,NA,NA,NA,NA,3.79,NA,NA,NA,NA,8.32,16.33,NA,NA,7.95,NA,NA,5.15,5.29,NA,13.13,NA,NA,NA,0.19,0.29,15.84,4.66,NA,11.29,11.78,-0.57,NA,1.11,4.66,5.7,NA,6.37,-1.84,7.03,NA,2.16,1.56,3.39,NA,NA,4.88
"209","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-10-31",1.31,7.46,2.31,NA,NA,0.64,2.54,NA,NA,NA,NA,2.46,NA,NA,NA,NA,5.14,16.48,NA,NA,10.55,NA,NA,4.42,3.36,NA,13.89,NA,NA,NA,-0.95,0.38,15.64,4.64,NA,11.52,6.65,-0.74,NA,1.17,4.76,5.77,NA,6.37,-5.9,7.28,NA,2.46,1,3.39,NA,NA,2.5
"210","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-11-30",1.31,6.24,0.09,NA,NA,5.54,2.54,NA,NA,NA,NA,5.74,NA,NA,NA,NA,5.03,12.87,NA,NA,8.35,NA,NA,4.95,3.75,NA,12.14,NA,NA,NA,-1.43,0.48,15.74,4.6,NA,12.61,5.57,1.05,NA,0.68,4.6,5.71,NA,6.37,-1.16,6.89,NA,2.15,2.62,3.44,NA,NA,2.64
"211","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2010-12-31",1.18,8.85,1.75,NA,NA,4.6,3.46,NA,NA,NA,NA,5.63,NA,NA,NA,NA,5.06,22.34,NA,NA,7.26,NA,NA,4.97,4.42,NA,10.81,NA,NA,NA,1.9,0.38,15.55,4.63,NA,12.92,7.88,-0.71,NA,3.32,4.08,5.71,NA,6.52,-4.98,7.4,NA,2.01,7.2,3.56,NA,NA,2.08
"212","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-01-31",1.18,7.92,2.73,7.68,NA,1.84,3.55,NA,NA,5.48,2.51,4.78,NA,NA,-0.53,0.09,5.12,23.31,-0.45,NA,11.18,NA,NA,5.46,4.56,NA,15.41,NA,3.12,5.21,1.9,0.38,15.86,7.94,NA,13.21,3.56,-0.85,NA,4.31,-9.56,4.52,NA,6.52,-4.43,6.54,NA,2.19,7.88,3.38,NA,NA,2.63
"213","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-02-28",1.01,8.4,-0.36,7.82,NA,4.64,3.06,NA,NA,-1.02,4.1,5.61,NA,NA,0.59,-0.28,5.25,21.04,0.72,NA,8.25,NA,NA,6.14,2.4,NA,9.14,NA,3.64,4.39,1.8,0.38,15.89,7.87,NA,12.12,2.26,0.03,NA,2.7,-9.82,4.55,NA,6.52,8.76,7.12,NA,3.15,4.31,3.22,NA,NA,2.91
"214","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-03-31",0,9.28,1.73,8,NA,5.11,2.96,NA,NA,0.96,-1.24,4.83,NA,NA,0.18,-0.11,5.42,23.15,-0.54,NA,9.33,NA,NA,8.33,4.46,NA,8.13,NA,-0.4,4.31,1.71,0.38,12.17,7.93,NA,13.52,4.84,0.39,NA,2.03,0.67,4.8,NA,6.85,16.71,7.29,NA,3.22,5.69,3.28,NA,NA,1.89
"215","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-04-30",0,9.44,1.17,7.63,NA,4,8.61,NA,NA,0.96,-0.42,4.09,NA,NA,0.42,1.03,5.4,23.37,-0.96,NA,9.55,NA,NA,10.54,5.62,NA,7.49,NA,8.94,3.98,1.89,0.48,9.95,8.14,NA,18.36,3.47,3.65,NA,2.42,0.68,5.37,NA,6.85,33.2,7.46,NA,3.67,10.99,3.37,NA,NA,2.99
"216","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-05-31",0,8.66,0.98,4.35,NA,7.04,8.61,NA,NA,1.04,-0.68,1.64,NA,NA,1.12,1,5.49,23.6,0.78,NA,11.07,NA,NA,11.44,6.81,NA,8.69,NA,2.73,4.74,1.89,0.38,8.83,8.02,NA,18.67,7.46,8.19,NA,3.41,0.69,5.51,NA,6.84,-10.67,7.7,NA,3.69,8.89,3.51,NA,NA,3.42
"217","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-06-30",1.84,7.82,2.24,8.52,NA,7.16,8.51,NA,NA,0.13,-0.15,1,NA,NA,1.12,1.03,5.5,24.24,0.66,NA,11.78,NA,NA,9.52,6.16,NA,6.22,NA,1.09,5.01,2.18,0.38,6.67,7.96,NA,16.03,7.48,5.83,NA,3.3,0.72,5.38,NA,6.96,18.53,12.77,NA,3.69,6.84,3.08,17.94,NA,3.24
"218","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-07-31",1.85,6.87,3.27,8.56,NA,3.92,8.31,NA,NA,-3.55,2.23,1.78,NA,NA,1.2,2.88,6.54,22.93,0.93,NA,11.91,NA,NA,10.8,6.35,NA,6.78,NA,0.88,5.04,2.18,0.48,7.85,7,NA,16.49,8.8,2.79,NA,2.93,0.88,6.23,NA,7.12,22.08,13.15,NA,3.8,4.18,2.86,14.29,NA,4.08
"219","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-08-31",1.85,6.45,3.59,8.94,NA,5.78,7.11,NA,NA,-2.24,0.12,1.72,NA,NA,1.2,2.8,8.62,23.28,0.96,NA,7.96,NA,NA,11.84,6.21,NA,4.39,NA,3.72,5.2,2.46,0.38,7.85,7.07,NA,17.24,5.12,2.87,NA,3.24,3.32,6.12,NA,6.91,37.4,13.51,NA,4.21,5.12,3.06,25.46,NA,4.76
"220","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-09-30",2.07,5.94,2,9.64,NA,7.99,7.11,NA,NA,0.95,2.2,0.85,NA,NA,7.44,2.8,8.06,18.12,1.01,NA,10.91,NA,NA,12.35,6.06,NA,4.1,NA,3.54,5.06,2.66,0.48,5.81,7.56,NA,14.76,0.83,4.12,NA,3.92,3.29,6.11,NA,6.69,48.89,13.43,NA,4.69,6.24,3.09,31.8,NA,7.25
"221","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-10-31",2.07,6.14,1.72,9.92,NA,8.89,6.97,NA,NA,-1.47,7.08,1.32,NA,NA,7.44,2.8,8,17.4,1,NA,8.25,NA,NA,14.96,6.23,NA,3.46,NA,3.09,2.22,3.74,0.48,5.98,7.73,NA,15.8,2.16,4.34,NA,4.4,3.21,6.04,NA,6.69,45.52,14.03,NA,4.76,4.95,3.09,31.3,NA,6.22
"222","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-11-30",2.07,5.9,3.67,10.23,NA,7.84,6.97,NA,NA,0.32,4.37,0.7,NA,NA,9.79,2.8,8.26,19.15,0.99,NA,8.96,NA,NA,17.67,7.46,NA,3.45,NA,2.92,1.97,4.24,0.38,6.16,7.82,NA,13.73,5.6,5.15,NA,4.1,9.92,5.96,NA,6.69,37.03,14.57,NA,4.63,4.72,3.01,31.27,NA,6.62
"223","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2011-12-31",2.59,5.44,2.07,10.1,NA,8.94,5.15,NA,NA,15.79,4.62,-0.22,NA,NA,9.6,2.8,8.35,12.11,1,NA,10.4,NA,NA,19.5,6.49,NA,4.74,NA,2.43,1.85,0.84,0.38,6.43,7.78,NA,16.54,5.44,4.61,NA,1.12,9.8,6.3,NA,6.47,34.95,14.21,NA,4.92,4.72,2.86,35.47,NA,7.46
"224","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-01-31",2.59,5.59,0.35,9.91,NA,32.61,5.73,NA,NA,8.74,6.74,0.98,NA,NA,8.43,5.65,8.32,12.4,1.86,NA,9.3,NA,NA,16.09,6.61,NA,3.59,NA,-1.44,3.29,4.57,0.48,8.24,5.25,NA,15.74,7.6,5.82,NA,0.74,9.72,5.91,NA,6.64,32.24,14.07,NA,4.92,4.31,3.03,35.85,NA,6.88
"225","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-02-29",4.58,5.46,3,9.75,NA,37.64,8.67,NA,NA,10.22,5.92,0.91,NA,NA,8.58,5.65,7.96,15.46,1.6,NA,13.16,NA,NA,14.53,8.07,NA,3.05,NA,-1.11,3.74,4.57,0.48,7.96,4.84,NA,14.91,1.13,4.45,NA,2.29,9.45,5.95,NA,6.82,22.09,13.58,NA,3.95,9.38,2.9,33.64,NA,10.63
"226","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-03-31",4.89,4.59,0.98,8.78,NA,38.67,8.77,NA,NA,7.48,5.85,0.97,NA,NA,10.21,5.47,7.74,15.97,1.69,NA,12.38,NA,NA,13.03,7.36,NA,4.85,NA,0.15,3.92,5.68,0.57,6.69,4.75,NA,20.41,-2.07,4.75,NA,1.75,9.6,5.93,NA,6.76,29.31,13.07,NA,4.36,7.44,2.87,24.42,NA,10.89
"227","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-04-30",4.89,4.83,1.42,8.62,NA,40.57,5.19,NA,NA,4.49,5.35,-0.91,NA,NA,8.74,4.28,12.33,15.29,1.68,NA,8.89,NA,NA,10.46,4.36,NA,6.48,NA,-1.38,4.03,5.11,0.48,6.02,4.67,NA,15.28,-1.64,5.49,NA,0.72,10.11,5.47,NA,6.93,19.27,13.5,NA,3.93,1.91,2.76,24.24,NA,13.34
"228","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-05-31",4.89,4.04,0.35,11.85,NA,37,5.18,NA,NA,6.79,5.07,1.4,NA,NA,7.24,4.28,12.2,14.12,-0.1,NA,7.29,NA,NA,7.77,4.74,NA,7.11,NA,2.86,3.12,4.93,0.57,4.2,4.45,NA,15.32,-2.47,1.53,NA,0.03,20.46,5.47,NA,6.75,65.84,13.47,NA,4.1,2.6,2.76,23.93,NA,13.89
"229","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-06-30",4.51,4.24,-0.44,8,NA,29.9,3.9,NA,NA,-1.35,6.34,3.07,NA,NA,7.24,4.28,12.75,9.64,-0.12,NA,6.6,NA,NA,8.22,4.35,NA,9.09,NA,2.51,2.67,4.92,0.57,4.07,4.53,NA,20.48,-5.1,1.5,NA,0.09,20.34,5.69,NA,6.51,20.99,9.92,NA,4.25,5.2,2.69,18.18,NA,14.14
"230","Housing, Water, Electricity, Gas and Other Fuels","PCPIH_PC_CP_A_PT","2012-07-31",4.5,4.38,4.13,7.38,NA,30.38,4.25,NA,NA,-29.6,3.56,2.75,NA,NA,6.71,1.77,12.01,14.51,-0.09,NA,9.46,NA,NA,4.28,4.96,NA,9.07,NA,1.56,2.67,4.72,0.48,3.29,5.92,NA,19.8,-5.15,3.84,NA,-0.38,20.03,4.64,NA,5.81,48.79,12.13,NA,11.39,5.14,2.71,21.73,NA,13.97
